aptSeq,name,sigungu,total,transport,living,education,complex,subwayM,age,households,parkingRatio
26200-15,"동산(1106)",영도구,16.7,,3.2,20.5,26.4,,36,,
26350-297,"그린빌라",해운대구,16.7,,12.4,9.8,28.0,,35,,
26350-296,"라온힐즈",해운대구,17.5,13.5,15.3,9.4,31.6,,33,,
26350-295,"영동써니",해운대구,17.6,17.4,18.0,8.9,26.0,,34,19,
26530-48,"엄궁",사상구,19.0,8.0,21.6,28.6,18.0,,43,10,
26350-204,"동서하이빌아파트",해운대구,19.7,17.3,15.3,9.2,36.9,,26,40,
26380-275,"제일(13-1105)",사하구,20.0,28.0,17.7,22.5,12.0,,50,,
26350-276,"동부썬빌라",해운대구,21.2,15.6,21.7,15.9,31.6,,33,,
26410-341,"동성베스트",금정구,22.3,25.7,11.4,14.5,37.4,,22,19,
26230-42,"대진파레스필즈",부산진구,22.5,23.8,8.1,17.9,40.0,,34,160,0.82
26230-43,"삼환",부산진구,23.5,20.2,7.5,13.0,53.3,,24,230,1.00
26140-114,"송도현대",서구,23.6,24.5,14.6,11.8,43.4,,34,208,
26350-262,"대림엠파이어빌라",해운대구,23.7,24.1,21.2,23.6,25.8,,34,18,
26140-111,"전원비치맨션",서구,23.7,26.1,19.7,16.2,33.0,,36,82,
26710-41,"재흥",기장군,24.4,26.9,16.4,14.9,39.4,,36,170,
26290-239,"신선맨션",남구,24.7,12.1,12.2,45.3,29.1,,35,45,
26380-273,"우림",사하구,24.9,8.1,24.4,47.0,20.3,,47,35,
26140-115,"송도혜성비치타운",서구,25.1,26.2,17.8,15.3,41.0,,33,150,
26350-361,"동부문빌라",해운대구,25.1,17.4,27.5,16.8,38.8,,29,,
26710-40,"성림",기장군,25.1,26.1,24.8,22.2,27.3,,37,70,0.17
26710-570,"명례솔터시티",기장군,25.9,14.9,4.5,8.0,76.0,,10,,
26350-200,"상림팰리스빌",해운대구,26.7,18.8,19.6,18.6,49.6,,23,,
26140-105,"송도타워맨션",서구,26.8,26.0,23.4,19.2,38.5,,31,89,
26710-558,"노블비치",기장군,26.8,34.3,26.2,10.0,36.6,912,23,20,
26140-110,"일원타워맨션",서구,27.0,18.6,29.8,28.9,30.5,,34,48,
26350-2335,"해운대경보이리스힐아파트",해운대구,27.0,14.0,14.6,9.6,69.9,,8,230,1.13
26410-2134,"금성타운",금정구,27.2,28.1,11.4,15.1,54.1,,14,78,
26380-351,"신흥동백(359-1)",사하구,27.3,8.1,18.0,51.8,31.4,,39,90,
26410-80,"경동",금정구,27.5,31.3,7.9,11.6,59.3,888,29,642,
26710-93,"세진오션리조트빌",기장군,28.4,36.9,29.3,10.9,36.3,828,23,18,
26350-173,"LIG건영",해운대구,28.4,12.5,19.5,42.1,39.6,,29,83,
26530-93,"삼정송림맨션",사상구,28.6,14.1,43.8,27.2,29.3,,40,80,
26140-996,"파크갤러리아파트",서구,28.6,23.7,14.6,11.3,65.0,,15,,
26290-269,"성도맨션",남구,28.8,26.7,10.7,61.8,16.0,,45,,
26140-100,"송도맨션",서구,28.8,20.0,35.3,42.6,17.5,,45,12,
26410-1916,"금정산경동메르빌아파트",금정구,28.9,30.7,11.7,12.4,60.6,982,19,158,2.05
26710-34,"청강주공",기장군,28.9,17.2,23.7,23.8,51.0,,36,520,
26320-10,"백양",북구,29.2,24.8,21.6,35.0,35.2,,34,137,0.38
26350-2304,"해운대송정우림필유아파트",해운대구,29.3,22.1,13.8,11.8,69.4,797,11,407,0.96
26290-17,"청구",남구,29.4,25.0,9.2,18.9,64.6,,25,604,1.34
26320-7,"동부제강사원",북구,29.4,24.5,22.2,39.4,31.6,,33,,
26200-74,"전원파크맨션",영도구,29.5,24.8,23.1,42.2,27.8,,38,54,
26380-346,"신한",사하구,29.6,23.9,24.8,39.8,29.9,,36,57,
26710-666,"쌍용더플래티넘오시리아",기장군,29.6,22.5,9.2,10.4,76.3,,2,191,1.37
26530-95,"정남파크맨션",사상구,29.6,17.4,48.2,26.4,26.4,,41,60,
26350-294,"송정세양시에당",해운대구,29.7,37.7,19.2,10.4,51.4,946,22,,
26290-14,"삼익그린",남구,29.7,23.8,11.2,21.0,62.9,,25,725,1.08
26290-5,"대우그린1",남구,29.7,25.1,11.9,25.6,56.3,,29,691,0.81
26380-276,"한성",사하구,29.8,21.2,38.3,32.3,27.5,,44,79,
26140-1196,"송도서린엘마르",서구,29.8,25.5,14.6,14.2,65.1,,10,168,1.14
