pairId,type,side,aptSeq,name,sigungu,transport,living,education,complex,total_WA
PAIR-01,"신축 vs 구축",A,26230-4560,"가야역롯데캐슬스카이엘",부산진구,80.3,53.4,55.8,87.2,69.2
PAIR-01,"신축 vs 구축",B,26170-24,"수성아파트(440-0)",동구,40.3,31.9,74.3,20.5,41.8
PAIR-02,"신축 vs 구축",A,26230-4540,"양정자이더샵SKVIEW아파트(2단지)",부산진구,59.6,65.1,44.6,89.3,64.6
PAIR-02,"신축 vs 구축",B,26170-618,"좌천시민(741-1)",동구,49.9,44.7,57.0,30.8,45.6
PAIR-03,"신축 vs 구축",A,26230-2856,"롯데캐슬라센트",부산진구,,50.6,52.3,89.0,64.0
PAIR-03,"신축 vs 구축",B,26170-77,"좌천시민(737-1)",동구,54.1,49.5,63.1,8.0,43.7
PAIR-04,"신축 vs 구축",A,26230-4535,"백양산서희스타힐스",부산진구,20.8,31.7,66.0,87.2,51.4
PAIR-04,"신축 vs 구축",B,26170-33,"제일",동구,53.6,65.5,57.7,16.2,48.2
PAIR-05,"신축 vs 구축",A,26230-4572,"양정자이더샵SKVIEW아파트(1단지)",부산진구,55.7,67.3,50.8,85.2,64.8
PAIR-05,"신축 vs 구축",B,26170-633,"수정(1186-1)",동구,42.5,33.4,70.3,8.0,38.5
PAIR-06,"신축 vs 구축",A,26230-4549,"시민공원비스타동원",부산진구,,57.7,60.6,81.5,66.6
PAIR-06,"신축 vs 구축",B,26170-631,"수정(1181-4)",동구,45.3,40.4,66.9,8.0,40.1
PAIR-07,"초역세권 vs 비역세권",A,26320-1763,"포레나부산덕천1차",북구,90.2,68.6,46.4,83.0,72.1
PAIR-07,"초역세권 vs 비역세권",B,26140-1353,"비스타동원더비치테라스",서구,20.7,35.4,44.9,78.9,45.0
PAIR-08,"초역세권 vs 비역세권",A,26320-20,"에이스타운",북구,89.4,61.5,72.1,42.9,66.5
PAIR-08,"초역세권 vs 비역세권",B,26350-271,"에이스빌라",해운대구,24.7,43.3,31.7,28.0,31.9
PAIR-09,"초역세권 vs 비역세권",A,26530-1021,"대상로웰아파트",사상구,86.1,62.3,62.7,62.5,68.4
