aptSeq,name,sigungu,total,transport,living,education,complex,subwayM,age,households,parkingRatio
26230-2523,"개금역금강펜테리움더스퀘어아파트",부산진구,78.4,88.6,72.0,73.6,79.6,63,8,620,1.25
26500-1679,"POPS아트빌38",수영구,78.3,89.1,78.3,78.6,67.2,61,14,,
26260-2110,"동래효성해링턴플레이스",동래구,77.7,82.2,74.5,70.6,83.4,109,7,762,1.40
26230-2845,"서면롯데캐슬엘루체",부산진구,77.4,62.3,77.9,84.2,85.1,303,3,450,1.76
26140-1286,"툇마루家",서구,77.0,80.5,72.8,69.0,85.6,204,6,,
26230-2853,"서면동원시티비스타",부산진구,76.6,88.7,80.1,62.4,75.1,124,2,176,
26470-1566,"아시아드코오롱하늘채",연제구,76.0,68.6,76.7,79.0,79.7,330,7,660,1.13
26380-2053,"사하역비스타동원",사하구,76.0,85.5,62.4,75.0,81.2,147,5,513,1.20
26260-2024,"사직롯데캐슬더클래식",동래구,75.7,71.8,73.3,75.4,82.2,209,9,1064,1.31
26410-2422,"휴림아르페(남산동21-7)",금정구,75.3,85.1,56.0,81.9,78.4,160,9,,
26410-2537,"삼한골든뷰에듀스테이션",금정구,75.1,86.6,74.3,54.6,84.9,133,5,610,1.54
26140-1272,"서대신부백더자연애아파트",서구,75.0,86.7,70.4,59.7,83.2,147,7,,
26500-2455,"더샵남천프레스티지",수영구,74.9,71.4,76.5,65.4,86.4,227,4,975,1.22
26260-2031,"시티하임3차",동래구,74.8,87.9,74.1,58.8,78.4,135,9,,
26290-2686,"대연SKVIEWHills(2단지)",남구,74.6,69.2,81.4,64.7,83.2,320,7,,
26290-2632,"대연SKVIEWHills",남구,74.6,70.4,81.8,64.1,82.0,314,8,994,1.19
26500-2362,"광안스윗팰리스",수영구,74.4,88.1,78.0,66.2,65.3,131,4,71,
26320-1653,"e편한세상화명힐스",북구,74.4,85.4,71.0,61.4,79.7,167,11,800,1.43
26470-1037,"월드마크아시아드",연제구,74.3,84.5,65.0,80.3,67.3,144,18,299,2.06
26230-1682,"전포동에메랄드홈",부산진구,74.3,89.6,80.2,67.4,59.8,107,20,241,1.22
26350-125,"벽산1",해운대구,74.2,86.5,85.8,64.1,60.3,149,30,880,1.11
26500-2288,"리부스남천",수영구,74.2,83.4,74.5,81.9,56.8,83,5,19,
26260-2172,"동래롯데캐슬퀸",동래구,74.1,89.2,79.1,56.2,72.1,83,6,210,1.19
26470-3051,"레이카운티(5단지)",연제구,74.1,79.4,60.3,66.6,90.2,210,2,4470,1.22
26500-2132,"라움팰리스타워",수영구,74.1,83.5,76.6,75.8,60.6,149,8,73,
26260-1469,"강변뜨란채",동래구,74.1,89.0,62.2,78.3,66.7,116,20,814,1.01
26320-1785,"포레나부산덕천2차",북구,74.0,87.5,71.1,52.2,85.4,72,3,795,1.17
26470-3050,"레이카운티(4단지)",연제구,74.0,79.4,60.3,66.6,89.8,210,3,4470,1.22
26500-1941,"광일센텀스카이뷰",수영구,74.0,86.4,78.9,74.4,56.3,155,10,58,
26140-1176,"헤리츠아파트2차",서구,74.0,68.7,77.1,76.4,73.8,361,11,,
26230-2593,"가야누리애더센트리즈",부산진구,74.0,66.9,67.1,76.3,85.6,291,6,,
26470-3048,"레이카운티(2단지)",연제구,73.9,78.9,60.3,66.6,89.8,210,3,4470,1.22
26470-3049,"레이카운티(3단지)",연제구,73.9,78.9,60.3,66.6,89.8,210,3,4470,1.22
26470-3047,"레이카운티(1단지)",연제구,73.9,78.9,60.3,66.6,89.8,210,3,4470,1.22
26500-1712,"광안협성엠파이어Ⅱ",수영구,73.9,87.9,75.8,62.4,69.4,73,13,,
26470-1545,"어반힐즈",연제구,73.9,89.1,69.3,77.5,59.5,59,8,64,
26140-1249,"토성동경동리인타워",서구,73.8,66.8,78.6,72.6,77.3,299,8,452,1.26
26500-1384,"광안동에스케이뷰",수영구,73.8,86.1,75.2,67.7,66.1,146,20,361,1.62
26290-3234,"국제금융센터퀸즈W",남구,73.8,73.4,62.1,79.3,80.3,213,3,256,1.81
26380-1959,"그린시티",사하구,73.7,87.3,55.6,73.5,78.4,104,9,,
26260-2000,"사직역삼정그린코아더베스트1차",동래구,73.6,85.2,79.7,57.3,72.2,147,10,313,1.28
26140-1239,"한우리빌리지5차",서구,73.6,89.2,68.3,56.0,80.8,78,8,,
26260-2104,"명륜자이",동래구,73.6,71.1,77.3,66.1,79.8,311,7,671,1.13
26350-2395,"롯데캐슬스타",해운대구,73.5,56.3,77.1,76.6,84.2,418,6,828,1.32
26500-2172,"센텀디아이리더스",수영구,73.5,89.3,78.1,70.9,55.7,84,7,28,
26470-1914,"연제SKVIEWCentral",연제구,73.5,74.7,78.0,60.5,80.8,248,3,405,1.21
26380-1993,"스마트더블유",사하구,73.4,77.5,60.9,74.5,80.8,225,8,,
26530-1142,"사상중흥에스-클래스그랜드센트럴",사상구,73.4,84.9,61.7,60.5,86.7,170,3,1572,1.07
26320-1742,"리버파크반도유보라",북구,73.4,72.5,58.7,80.2,82.3,269,5,790,1.09
26230-2472,"범내골역이즈팰리스",부산진구,73.4,80.8,66.5,68.0,78.4,173,9,,
