pairId,type,side,aptSeq,name,sigungu,transport,living,education,complex,total,winner,gap
SHORTLIST-01,"신축 vs 구축",A,26230-4535,"백양산서희스타힐스",부산진구,20.8,31.7,66.0,87.2,51.4,TIE(근소),3.0
SHORTLIST-01,"신축 vs 구축",B,26170-33,"제일",동구,53.6,65.5,57.7,17.0,48.4,TIE(근소),3.0
SHORTLIST-02,"신축 vs 구축",A,26230-2856,"롯데캐슬라센트",부산진구,,50.6,52.3,89.0,64.0,A,15.6
SHORTLIST-02,"신축 vs 구축",B,26170-77,"좌천시민(737-1)",동구,54.1,49.5,63.1,26.9,48.4,A,15.6
SHORTLIST-03,"초역세권 vs 비역세권",A,26140-37,"희망센츄럴타운",서구,89.4,68.6,58.6,41.9,64.6,A,14.3
SHORTLIST-03,"초역세권 vs 비역세권",B,26350-2285,"해운대힐스테이트위브",해운대구,20.7,51.0,45.5,84.3,50.4,A,14.3
SHORTLIST-04,"초역세권 vs 비역세권",A,26530-1021,"대상로웰아파트",사상구,86.1,62.3,62.7,62.9,68.5,A,15.0
SHORTLIST-04,"초역세권 vs 비역세권",B,26140-1361,"e편한세상송도더퍼스트비치",서구,25.3,37.7,62.0,89.0,53.5,A,15.0
SHORTLIST-05,"대단지 vs 소단지",A,26290-93,"엘지메트로시티4-2(230~238)",남구,27.1,65.8,57.7,73.8,56.1,TIE(근소),2.9
SHORTLIST-05,"대단지 vs 소단지",B,26440-114,"외진가센트럴타워",강서구,68.3,24.5,57.3,62.8,53.2,TIE(근소),2.9
SHORTLIST-06,"대단지 vs 소단지",A,26290-94,"엘지메트로시티4-1(201-214)",남구,27.1,65.8,57.7,73.8,56.1,B,6.7
SHORTLIST-06,"대단지 vs 소단지",B,26140-63,"문화",서구,79.5,77.8,74.9,19.1,62.8,B,6.7
SHORTLIST-07,"고주차 vs 저주차",A,26350-2120,"대우트럼프월드마린",해운대구,32.6,53.3,45.1,64.3,48.8,TIE(근소),0.2
SHORTLIST-07,"고주차 vs 저주차",B,26230-1905,"블루스카이",부산진구,44.0,50.5,57.2,44.1,49.0,TIE(근소),0.2
SHORTLIST-08,"고주차 vs 저주차",A,26350-2117,"현대하이페리온",해운대구,52.4,65.0,54.2,57.7,57.3,TIE(근소),1.4
SHORTLIST-08,"고주차 vs 저주차",B,26350-135,"LH뜨란채아파트",해운대구,45.9,52.1,81.2,55.7,58.7,TIE(근소),1.4
SHORTLIST-09,"교육접근 양호 vs 열악",A,26230-40,"초읍그린",부산진구,26.4,45.3,82.5,33.5,46.9,B,5.6
SHORTLIST-09,"교육접근 양호 vs 열악",B,26530-1043,"사상구남역동원로얄듀크",사상구,58.9,51.6,21.5,78.1,52.5,B,5.6
SHORTLIST-10,"교육접근 양호 vs 열악",A,26470-27,"진흥목화",연제구,56.6,52.7,85.4,27.3,55.5,A,13.0
SHORTLIST-10,"교육접근 양호 vs 열악",B,26440-125,"더샵명지퍼스트월드3단지",강서구,24.2,42.3,16.0,87.5,42.5,A,13.0
SHORTLIST-11,"생활밀집 vs sparse",A,26230-2443,"대동레미안더오션2",부산진구,59.5,84.3,52.5,57.6,63.5,A,11.9
SHORTLIST-11,"생활밀집 vs sparse",B,26440-112,"우창더뷰",강서구,84.7,15.6,38.8,67.2,51.6,A,11.9
SHORTLIST-12,"생활밀집 vs sparse",A,26230-215,"HY원룸",부산진구,66.0,83.7,41.2,46.2,59.3,A,22.9
SHORTLIST-12,"생활밀집 vs sparse",B,26710-91,"대변그린비치빌",기장군,17.0,4.0,82.2,42.1,36.3,A,22.9
SHORTLIST-13,"tradeoff(교통 vs 주차)",A,26320-65,"대방",북구,76.7,64.5,50.2,46.1,59.4,A,3.2
SHORTLIST-13,"tradeoff(교통 vs 주차)",B,26500-1390,"광안현대하이페리온",수영구,34.8,55.9,68.9,65.3,56.2,A,3.2
SHORTLIST-14,"tradeoff(교통 vs 주차)",A,26320-153,"수정강변타운",북구,71.6,41.3,47.3,63.3,55.9,A,4.6
SHORTLIST-14,"tradeoff(교통 vs 주차)",B,26320-1484,"구포유림노르웨이숲2차",북구,52.4,51.0,42.7,59.0,51.3,A,4.6
SHORTLIST-15,"tradeoff(연식 vs 규모)",A,26230-2575,"범일역이즈",부산진구,73.9,71.0,49.5,65.9,65.1,TIE(근소),1.6
SHORTLIST-15,"tradeoff(연식 vs 규모)",B,26230-135,"엘지신개금(2-1)",부산진구,63.0,61.7,77.9,64.0,66.6,TIE(근소),1.6
