# E-JIP SCORE V2 STEP 3.5 — Blind Expert Review Shortlist(12~15쌍)
# 질문1: 실거주 관점에서 어느 쪽이 더 좋습니까? (A / B / 비슷)
# 질문2: 가장 큰 이유는? (교통 / 생활 / 교육 / 단지 / 기타)
# 점수는 이 파일에 없습니다.
pairId,side,builtYear,households,parkingRatio,subwayDistanceM,subwayStatus,busStopDistanceM,elementaryDistanceM,martCount,convenienceCount,pharmacyCount,hospitalCount,dataConfidence
SHORTLIST-01,A,2025,1295,1.09,,CONFIRMED_ABSENT,144,293,2,5,1,14,HIGH
SHORTLIST-01,B,1962,30,정보없음,442,VALUE,127,414,2,9,18,45,HIGH
SHORTLIST-02,A,2025,2195,1.12,,MISSING,,457,2,8,3,45,HIGH
SHORTLIST-02,B,1962,,정보없음,368,VALUE,205,333,2,3,7,45,HIGH
SHORTLIST-03,A,2002,48,정보없음,38,VALUE,34,368,2,14,14,45,HIGH
SHORTLIST-03,B,2015,2369,1.65,,CONFIRMED_ABSENT,163,466,3,8,2,45,HIGH
SHORTLIST-04,A,2018,88,정보없음,38,VALUE,108,302,3,18,5,31,HIGH
SHORTLIST-04,B,2024,1302,1.27,,CONFIRMED_ABSENT,46,208,1,10,3,11,HIGH
SHORTLIST-05,A,2003,7374,1.71,,CONFIRMED_ABSENT,58,429,4,8,11,45,HIGH
SHORTLIST-05,B,2019,77,정보없음,300,VALUE,114,261,2,2,3,3,HIGH
SHORTLIST-06,A,2003,7374,1.71,,CONFIRMED_ABSENT,58,429,4,8,11,45,HIGH
SHORTLIST-06,B,1974,34,정보없음,209,VALUE,53,202,2,30,27,45,HIGH
SHORTLIST-07,A,2007,232,4.11,842,VALUE,202,435,2,11,3,42,HIGH
SHORTLIST-07,B,2011,55,0.25,557,VALUE,219,310,1,12,4,34,HIGH
SHORTLIST-08,A,2006,114,4.84,456,VALUE,,427,2,17,7,45,HIGH
SHORTLIST-08,B,1997,928,0.59,795,VALUE,34,115,7,7,1,45,HIGH
SHORTLIST-09,A,1994,73,정보없음,,CONFIRMED_ABSENT,35,44,1,7,4,35,HIGH
SHORTLIST-09,B,2019,498,1.15,429,VALUE,122,805,4,8,2,38,HIGH
SHORTLIST-10,A,1986,72,정보없음,374,VALUE,187,43,1,10,5,45,HIGH
SHORTLIST-10,B,2020,1530,1.41,,CONFIRMED_ABSENT,124,837,2,12,2,13,HIGH
SHORTLIST-11,A,2017,48,정보없음,388,VALUE,148,406,4,41,38,45,HIGH
SHORTLIST-11,B,2019,,정보없음,138,VALUE,69,462,1,5,0,0,HIGH
SHORTLIST-12,A,2003,81,정보없음,370,VALUE,77,501,4,34,39,45,HIGH
SHORTLIST-12,B,2002,49,정보없음,,CONFIRMED_ABSENT,168,103,0,1,0,2,HIGH
SHORTLIST-13,A,1993,280,0.85,231,VALUE,,426,3,11,8,45,HIGH
SHORTLIST-13,B,2007,265,2.22,639,VALUE,264,244,2,11,4,45,HIGH
SHORTLIST-14,A,2001,1780,0.81,250,VALUE,115,476,1,6,5,21,HIGH
SHORTLIST-14,B,2008,112,1.93,611,VALUE,36,566,4,8,3,27,HIGH
SHORTLIST-15,A,2019,186,0.87,284,VALUE,42,377,2,20,12,45,HIGH
SHORTLIST-15,B,1998,1691,1.09,327,VALUE,137,179,2,11,8,45,HIGH
