aptSeq,name,sigungu,ageBand,hhBand,parkingStatus,total_WA,complex
26440-114,"외진가센트럴타워",강서구,0-10,<100,MISSING,53.1,62.4
26140-1353,"비스타동원더비치테라스",서구,0-10,100-299,KNOWN,45.0,78.9
26260-151,"에스케이쁘띠메종",동래구,21-30,300-499,KNOWN,58.9,55.5
26140-15,"문화",서구,31+,100-299,MISSING,57.5,31.7
26140-63,"문화",서구,31+,<100,MISSING,62.7,18.6
26350-283,"스카이맨션",해운대구,31+,unknown,MISSING,38.0,11.7
26350-271,"에이스빌라",해운대구,31+,unknown,MISSING,31.9,28.0
26140-913,"보람",서구,21-30,100-299,MISSING,60.2,55.5
26260-1821,"명륜아이파크2단지",동래구,11-20,100-299,KNOWN,62.4,65.3
26140-1290,"대신푸르지오2차",서구,0-10,500-999,KNOWN,62.2,83.5
26140-1356,"대신해모로센트럴아파트",서구,0-10,500-999,KNOWN,67.8,82.9
26350-2093,"더샵센텀파크1차",해운대구,21-30,1000+,KNOWN,70.2,75.2
26350-2374,"에이스스카이뷰",해운대구,0-10,<100,MISSING,43.2,56.0
26140-917,"해오름",서구,11-20,<100,MISSING,64.1,46.9
26350-134,"SKVIEW",해운대구,21-30,1000+,KNOWN,55.1,58.7
26350-32,"명유그린",해운대구,31+,<100,MISSING,52.4,36.7
26350-106,"건영1",해운대구,21-30,500-999,KNOWN,56.6,60.8
26140-128,"충무제1",서구,31+,<100,MISSING,46.5,18.3
26140-77,"문화",서구,31+,<100,MISSING,45.2,20.8
26350-249,"대림맨션",해운대구,31+,unknown,MISSING,46.4,11.7
26140-1361,"e편한세상송도더퍼스트비치",서구,0-10,1000+,KNOWN,53.5,89.0
26350-2285,"해운대힐스테이트위브",해운대구,11-20,1000+,KNOWN,50.4,84.3
26350-3370,"드파인센텀",해운대구,0-10,500-999,KNOWN,62.8,86.0
26350-258,"석공힐타운",해운대구,31+,unknown,MISSING,31.4,12.0
26350-109,"경남선경",해운대구,21-30,1000+,KNOWN,55.7,62.4
26230-136,"엘지신개금(2-2)",부산진구,21-30,500-999,KNOWN,63.6,61.8
26470-1160,"해운그린빌",연제구,11-20,<100,MISSING,63.3,46.4
26110-881,"코모도에스테이트",중구,11-20,100-299,KNOWN,70.8,62.9
26230-2382,"포세이돈",부산진구,0-10,<100,MISSING,65.3,52.8
26110-46,"동아(160-0)",중구,21-30,unknown,MISSING,38.6,40.6
26230-2598,"포레나부산초읍",부산진구,0-10,1000+,KNOWN,56.0,82.0
26230-4540,"양정자이더샵SKVIEW아파트(2단지)",부산진구,0-10,1000+,KNOWN,64.6,89.3
26230-135,"엘지신개금(2-1)",부산진구,21-30,1000+,KNOWN,66.6,64.0
26290-2614,"문현동월가아파트",남구,0-10,unknown,MISSING,64.7,80.8
26230-65,"현대1차",부산진구,21-30,1000+,MISSING,53.9,64.6
26230-2507,"서면라이포레",부산진구,0-10,<100,MISSING,69.8,58.9
26230-240,"서면롯데캐슬스카이",부산진구,21-30,1000+,KNOWN,71.8,66.6
26230-4542,"래미안어반파크1단지",부산진구,0-10,1000+,KNOWN,56.8,88.8
26230-2441,"메리온시티",부산진구,0-10,<100,MISSING,63.5,57.4
26230-141,"개금주공2",부산진구,31+,1000+,MISSING,41.4,56.8
26230-96,"백양뜨란채,주공아파트(1단지)",부산진구,21-30,1000+,KNOWN,44.5,59.3
26230-2559,"서면2차봄여름가을겨울",부산진구,0-10,500-999,KNOWN,65.7,78.6
26230-2866,"양정포레힐즈스위첸1단지",부산진구,0-10,1000+,KNOWN,66.3,88.0
26230-108,"벽산1",부산진구,31+,500-999,KNOWN,50.4,51.8
26230-66,"현대2차",부산진구,21-30,unknown,MISSING,59.4,40.6
26230-2464,"서면DS·협성엘리시안아파트",부산진구,0-10,500-999,KNOWN,50.3,75.6
26230-1857,"연지자이2차",부산진구,11-20,unknown,MISSING,50.7,65.0
26230-95,"개금주공3단지",부산진구,31+,unknown,MISSING,46.5,24.8
26230-1790,"마제스타워서면",부산진구,11-20,100-299,MISSING,51.4,60.6
26290-261,"동림리라",남구,31+,<100,MISSING,37.2,27.1
26260-2109,"온천천경동리인타워",동래구,0-10,300-499,KNOWN,63.2,73.5
26470-1331,"해운파크빌",연제구,11-20,<100,MISSING,64.9,49.7
26230-2437,"영림로즈빌",부산진구,0-10,<100,MISSING,60.4,50.1
26230-2854,"서면비스타동원",부산진구,0-10,500-999,KNOWN,56.8,86.2
26230-118,"이화",부산진구,31+,100-299,MISSING,39.5,31.6
26230-127,"개금우드빌",부산진구,31+,500-999,KNOWN,36.4,50.4
26230-23,"화신거화2",부산진구,31+,unknown,MISSING,34.9,35.2
26230-34,"청구",부산진구,21-30,unknown,MISSING,37.2,44.2
26230-2582,"가야동그린시티",부산진구,0-10,100-299,MISSING,63.9,66.1
26230-2541,"더샵골드6",부산진구,0-10,<100,MISSING,60.9,57.8
26230-354,"두산위브센티움",부산진구,21-30,100-299,MISSING,64.9,59.2
26230-1802,"서면세종그랑시아",부산진구,11-20,100-299,KNOWN,69.5,67.1
26230-131,"성도",부산진구,31+,100-299,MISSING,41.9,47.1
26230-2456,"서면TK골드뷰",부산진구,0-10,<100,MISSING,58.4,55.0
26230-355,"대동레미안",부산진구,21-30,unknown,MISSING,59.4,53.2
26230-1727,"에스엔디파인빌",부산진구,11-20,100-299,MISSING,65.2,52.2
26230-144,"한진",부산진구,31+,unknown,MISSING,41.1,29.8
26230-104,"가야삼정그린코아",부산진구,21-30,300-499,KNOWN,47.1,56.1
26230-2048,"서면블리체",부산진구,11-20,100-299,MISSING,63.9,58.8
26230-1452,"다산몽레브",부산진구,11-20,<100,MISSING,51.3,39.6
26230-2600,"연지보해이브더파크",부산진구,0-10,100-299,MISSING,57.5,69.0
26230-2472,"범내골역이즈팰리스",부산진구,0-10,unknown,MISSING,73.4,78.4
26230-2444,"가야누리애",부산진구,0-10,unknown,MISSING,69.1,78.4
26230-93,"삼익아파트",부산진구,31+,300-499,MISSING,51.3,39.8
26230-2063,"서면앙쥬빌주상복합",부산진구,11-20,unknown,MISSING,69.0,67.2
26500-100,"복음",수영구,31+,<100,MISSING,38.2,23.2
26230-37,"연지2청구",부산진구,21-30,500-999,KNOWN,51.0,61.1
26230-1882,"부산서면동문굿모닝힐",부산진구,11-20,500-999,KNOWN,62.9,74.4
26230-2484,"서면동일파크스위트3차",부산진구,0-10,500-999,KNOWN,60.8,78.2
26230-84,"협성피닉스타운",부산진구,31+,500-999,MISSING,41.2,56.8
26230-146,"개금아이파크",부산진구,21-30,1000+,KNOWN,62.5,68.0
26230-2575,"범일역이즈",부산진구,0-10,100-299,KNOWN,65.1,65.9
26230-2646,"e편한세상서면더센트럴",부산진구,0-10,500-999,KNOWN,57.9,84.8
26230-54,"한신",부산진구,21-30,300-499,MISSING,44.6,51.6
26230-2120,"강진융프라우",부산진구,11-20,100-299,MISSING,70.1,59.6
26350-35,"센텀삼익아파트",해운대구,31+,100-299,MISSING,62.4,40.0
26230-254,"한신센타뷰",부산진구,21-30,100-299,MISSING,56.9,48.2
26230-357,"경동",부산진구,21-30,100-299,KNOWN,44.8,53.2
26230-2325,"수목하우스",부산진구,11-20,<100,KNOWN,72.2,55.0
26230-2395,"동양팰리스",부산진구,0-10,100-299,MISSING,62.9,62.8
26230-1703,"서면이-편한세상",부산진구,11-20,500-999,KNOWN,69.4,70.3
26230-2428,"개금역스마트더블유",부산진구,0-10,100-299,MISSING,67.7,68.5
26230-2603,"협성휴포레시티즌파크",부산진구,0-10,300-499,KNOWN,58.1,78.3
26230-2523,"개금역금강펜테리움더스퀘어아파트",부산진구,0-10,500-999,KNOWN,78.4,79.6
26230-2641,"시민공원일동미라주시티",부산진구,0-10,100-299,MISSING,61.8,77.1
26230-133,"시영(1~5동)",부산진구,31+,100-299,MISSING,54.9,31.2
26230-179,"경원프라우드-2",부산진구,21-30,unknown,MISSING,65.7,49.6
26230-243,"서면베르빌2",부산진구,21-30,unknown,MISSING,63.2,51.4
26230-2856,"롯데캐슬라센트",부산진구,0-10,1000+,KNOWN,64.0,89.0
26500-1368,"카라디움",수영구,21-30,<100,MISSING,56.5,42.6
26230-36,"화인",부산진구,21-30,unknown,MISSING,36.4,37.0
26230-85,"화승",부산진구,21-30,1000+,KNOWN,56.5,62.1
26230-1861,"더샵센트럴스타",부산진구,11-20,unknown,MISSING,61.9,65.0
26230-2070,"백양산삼정그린코아",부산진구,11-20,100-299,KNOWN,39.8,62.1
26230-2599,"서면3차봄여름가을겨울",부산진구,0-10,300-499,KNOWN,65.8,77.6
26230-55,"한일맨션",부산진구,31+,100-299,MISSING,43.9,35.1
26230-1706,"현호네오빌",부산진구,11-20,<100,MISSING,62.2,42.6
