aptSeq,name,sigungu,age,households,complex_P-A_M3_GLOBAL_NEUTRAL,complex_P-B_M1_BOUNDED_REDIST,complex_P-C_M2_PARTIAL_FIXED,complex_P-D_ERA_CONDITIONED,complex_P-E_SCALE_ERA_CONSERVATIVE,total_P-A_M3_GLOBAL_NEUTRAL,total_P-B_M1_BOUNDED_REDIST,total_P-C_M2_PARTIAL_FIXED,total_P-D_ERA_CONDITIONED,total_P-E_SCALE_ERA_CONSERVATIVE
26200-112,"동삼그린힐",영도구,33,4057,59.7,61.4,52.2,55.5,54.5,45.6,46.0,43.7,44.5,44.3
26530-28,"백양그린",사상구,34,3609,58.9,60.5,51.4,54.7,53.6,49.4,49.8,47.5,48.3,48.1
26230-141,"개금주공2",부산진구,38,2544,55.8,56.8,48.3,51.5,50.5,41.1,41.4,39.3,40.1,39.8
26320-1659,"백양디이스트(1단지)",북구,11,2530,78.5,83.6,71.0,81.2,80.5,62.6,63.9,60.8,63.3,63.1
26500-29,"삼익비치",수영구,47,2508,51.8,52.1,44.3,47.5,46.5,49.6,49.7,47.7,48.5,48.3
26380-255,"다대포현대",사하구,33,2181,59.4,61.0,51.9,55.1,54.1,58.0,58.4,56.1,56.9,56.6
26230-65,"현대1차",부산진구,29,1885,62.4,64.6,54.9,62.8,62.5,53.4,53.9,51.5,53.4,53.4
26380-128,"가락타운1",사하구,34,1746,58.1,59.5,50.6,53.9,52.8,58.1,58.4,56.2,57.0,56.8
26380-243,"삼환",사하구,30,1669,61.2,63.2,53.7,61.6,61.3,59.8,60.3,57.9,59.9,59.9
26260-61,"동래럭키",동래구,43,1536,52.3,52.7,44.8,48.0,47.0,63.4,63.5,61.5,62.3,62.1
