aptSeq,name,sigungu,transport_T1,transport_T3,total_T1,total_T3
26440-114,"외진가센트럴타워",강서구,68.3,68.2,53.2,53.2
26140-1353,"비스타동원더비치테라스",서구,20.7,15.4,45.0,43.7
26260-151,"에스케이쁘띠메종",동래구,54.7,50.9,58.9,57.9
26140-15,"문화",서구,57.0,52.6,57.2,56.1
26140-63,"문화",서구,79.5,79.5,62.8,62.8
26350-283,"스카이맨션",해운대구,46.4,42.5,42.2,41.3
26350-271,"에이스빌라",해운대구,24.7,18.2,33.9,32.2
26140-913,"보람",서구,76.4,76.6,60.1,60.2
26260-1821,"명륜아이파크2단지",동래구,56.8,52.8,62.4,61.4
26140-1290,"대신푸르지오2차",서구,75.7,76.9,62.2,62.5
26140-1356,"대신해모로센트럴아파트",서구,86.5,86.8,67.8,67.9
26350-2093,"더샵센텀파크1차",해운대구,81.6,80.7,70.2,69.9
26350-2374,"에이스스카이뷰",해운대구,58.1,56.4,43.5,43.1
26140-917,"해오름",서구,67.7,66.0,64.9,64.5
26350-134,"SKVIEW",해운대구,42.8,36.8,55.1,53.6
26350-32,"명유그린",해운대구,33.1,31.5,51.8,51.4
26350-106,"건영1",해운대구,41.8,40.3,56.6,56.2
26140-128,"충무제1",서구,52.5,52.3,46.6,46.6
26140-77,"문화",서구,43.3,39.7,45.3,44.4
26350-249,"대림맨션",해운대구,45.0,45.0,50.6,50.6
26140-1361,"e편한세상송도더퍼스트비치",서구,25.3,18.5,53.5,51.8
26350-2285,"해운대힐스테이트위브",해운대구,20.7,15.5,50.4,49.1
26350-3370,"드파인센텀",해운대구,53.4,50.4,62.8,62.0
26350-258,"석공힐타운",해운대구,22.9,16.9,35.6,34.1
26350-109,"경남선경",해운대구,37.5,33.3,55.7,54.7
26230-136,"엘지신개금(2-2)",부산진구,56.4,57.6,63.6,63.8
26470-1160,"해운그린빌",연제구,47.4,50.2,64.1,64.8
26110-881,"코모도에스테이트",중구,68.3,67.3,70.8,70.5
26230-2382,"포세이돈",부산진구,65.7,64.3,65.8,65.4
26110-46,"동아(160-0)",중구,39.8,34.5,40.0,38.7
26230-2598,"포레나부산초읍",부산진구,22.8,16.9,56.0,54.5
26230-4540,"양정자이더샵SKVIEW아파트(2단지)",부산진구,59.6,55.8,64.6,63.7
26230-135,"엘지신개금(2-1)",부산진구,63.0,63.7,66.6,66.8
26290-2614,"문현동월가아파트",남구,70.7,68.4,61.0,60.5
26230-65,"현대1차",부산진구,44.9,40.8,53.4,52.4
26230-2507,"서면라이포레",부산진구,83.4,85.5,70.0,70.6
26230-240,"서면롯데캐슬스카이",부산진구,85.0,86.0,71.8,72.0
26230-4542,"래미안어반파크1단지",부산진구,15.2,11.8,56.8,56.0
26230-2441,"메리온시티",부산진구,69.6,69.0,63.8,63.6
26230-141,"개금주공2",부산진구,26.2,19.2,40.1,38.3
26230-96,"백양뜨란채,주공아파트(1단지)",부산진구,26.0,19.0,44.5,42.8
26230-2559,"서면2차봄여름가을겨울",부산진구,79.5,80.5,65.7,65.9
26230-2866,"양정포레힐즈스위첸1단지",부산진구,44.9,40.7,66.3,65.2
26230-108,"벽산1",부산진구,28.9,27.9,50.4,50.2
26230-66,"현대2차",부산진구,59.3,55.1,60.8,59.7
26230-2464,"서면DS·협성엘리시안아파트",부산진구,46.4,45.1,50.3,49.9
26230-1857,"연지자이2차",부산진구,18.2,13.8,49.3,48.2
26230-95,"개금주공3단지",부산진구,31.8,30.4,48.9,48.5
26230-1790,"마제스타워서면",부산진구,30.0,21.7,51.6,49.6
26290-261,"동림리라",남구,47.0,43.2,37.0,36.1
26260-2109,"온천천경동리인타워",동래구,70.9,69.5,63.2,62.9
26470-1331,"해운파크빌",연제구,50.0,52.1,65.6,66.1
26230-2437,"영림로즈빌",부산진구,74.5,77.3,61.0,61.7
26230-2854,"서면비스타동원",부산진구,37.8,40.1,56.8,57.4
26230-118,"이화",부산진구,48.3,43.0,39.1,37.8
26230-127,"개금우드빌",부산진구,24.4,17.9,36.4,34.7
26230-23,"화신거화2",부산진구,40.8,34.8,35.9,34.4
26230-34,"청구",부산진구,17.6,13.4,38.1,37.1
26230-2582,"가야동그린시티",부산진구,84.0,86.2,63.8,64.4
26230-2541,"더샵골드6",부산진구,58.1,54.3,61.2,60.3
26230-354,"두산위브센티움",부산진구,55.0,55.0,64.7,64.7
26230-1802,"서면세종그랑시아",부산진구,76.6,79.8,69.5,70.3
26230-131,"성도",부산진구,25.8,25.8,40.9,40.9
26230-2456,"서면TK골드뷰",부산진구,43.0,41.5,58.8,58.4
26230-355,"대동레미안",부산진구,64.4,64.2,59.1,59.0
26230-1727,"에스엔디파인빌",부산진구,61.7,58.4,65.8,64.9
26230-144,"한진",부산진구,28.2,20.5,42.8,40.9
26230-104,"가야삼정그린코아",부산진구,33.3,35.1,47.1,47.5
26230-2048,"서면블리체",부산진구,50.1,50.6,64.3,64.4
26230-1452,"다산몽레브",부산진구,51.8,50.2,52.3,51.9
26230-2600,"연지보해이브더파크",부산진구,37.2,31.5,57.4,56.0
26230-2472,"범내골역이즈팰리스",부산진구,80.8,81.9,70.1,70.4
26230-2444,"가야누리애",부산진구,57.1,56.5,65.8,65.6
26230-93,"삼익아파트",부산진구,29.9,29.9,50.7,50.7
26230-2063,"서면앙쥬빌주상복합",부산진구,74.4,73.6,67.3,67.2
26500-100,"복음",수영구,28.5,28.5,38.2,38.2
26230-37,"연지2청구",부산진구,,,51.0,51.0
26230-1882,"부산서면동문굿모닝힐",부산진구,52.6,49.3,62.9,62.1
26230-2484,"서면동일파크스위트3차",부산진구,34.4,31.1,60.8,59.9
26230-84,"협성피닉스타운",부산진구,16.6,12.7,39.9,38.9
26230-146,"개금아이파크",부산진구,45.1,41.9,62.5,61.7
26230-2575,"범일역이즈",부산진구,73.9,72.6,65.1,64.7
26230-2646,"e편한세상서면더센트럴",부산진구,43.4,40.7,57.9,57.2
26230-54,"한신",부산진구,26.1,19.1,44.6,42.9
