aptSeq,name,sggCd,umdName,prodTotal,shadowTotal,prodTransport,shadowTransport
26440-114,"외진가센트럴타워",26440,대저1동,55,55,73.49,74.68
26140-1353,"비스타동원더비치테라스",26140,암남동,55,57,42.11,43.13
26260-151,"에스케이쁘띠메종",26260,안락동,46,45,34.95,33.45
26140-15,"문화",26140,동대신동3가,55,55,68.90,56.46
26350-2582,"협성루에나센텀",26350,재송동,75,,81.13,
26140-1202,"일광",26140,아미동2가,60,,73.33,
26140-63,"문화",26140,토성동2가,62,63,65.68,66.73
26350-283,"스카이맨션",26350,중동,43,39,53.81,49.05
26350-271,"에이스빌라",26350,중동,31,28,30.53,27.66
26140-913,"보람",26140,서대신동2가,43,44,35.10,35.73
26350-225,"태석101동",26350,우동,53,,46.41,
26260-1821,"명륜아이파크2단지",26260,복천동,59,59,58.81,58.81
26140-1290,"대신푸르지오2차",26140,서대신동2가,41,42,37.03,38.63
26140-1356,"대신해모로센트럴아파트",26140,서대신동2가,47,48,62.28,63.16
26350-2093,"더샵센텀파크1차",26350,재송동,62,62,75.67,75.79
26350-2374,"에이스스카이뷰",26350,송정동,65,66,62.92,64.73
26140-11,"구덕금호",26140,동대신동3가,54,,54.63,
26140-917,"해오름",26140,토성동5가,54,55,69.84,71.24
26350-134,"SKVIEW",26350,좌동,35,35,29.69,30.53
26350-32,"명유그린",26350,재송동,47,47,35.93,35.19
26350-106,"건영1",26350,좌동,47,47,37.84,38.49
26140-128,"충무제1",26140,충무동2가,35,37,39.68,42.18
26140-77,"문화",26140,남부민동,44,45,48.70,51.41
26350-249,"대림맨션",26350,중동,51,49,64.93,60.09
26140-1361,"e편한세상송도더퍼스트비치",26140,암남동,60,61,52.60,52.58
26350-2285,"해운대힐스테이트위브",26350,중동,51,49,27.45,24.56
26350-3370,"드파인센텀",26350,반여동,67,65,70.89,68.20
26350-258,"석공힐타운",26350,중동,29,26,28.13,25.48
26350-109,"경남선경",26350,좌동,36,37,19.70,20.46
26230-136,"엘지신개금(2-2)",26230,개금동,57,58,49.97,50.00
26470-1160,"해운그린빌",26470,연산동,53,53,46.20,47.06
26110-881,"코모도에스테이트",26110,대청동1가,63,64,67.52,69.17
26230-2382,"포세이돈",26230,양정동,56,56,50.56,52.09
26110-46,"동아(160-0)",26110,영주동,43,43,37.42,34.70
26230-2598,"포레나부산초읍",26230,초읍동,55,54,45.37,45.50
26230-4540,"양정자이더샵SKVIEW아파트(2단지)",26230,양정동,45,45,34.34,34.51
26230-135,"엘지신개금(2-1)",26230,개금동,65,65,57.02,55.71
26290-2614,"문현동월가아파트",26290,문현동,56,56,50.35,49.62
26230-65,"현대1차",26230,양정동,28,28,19.90,19.89
26230-71,"메리움",26230,부암동,61,,71.74,
26230-2507,"서면라이포레",26230,범천동,67,67,75.78,75.60
26230-240,"서면롯데캐슬스카이",26230,전포동,52,52,65.79,68.73
26230-4542,"래미안어반파크1단지",26230,연지동,55,57,21.36,25.63
26230-2441,"메리온시티",26230,양정동,45,45,49.53,49.87
26230-141,"개금주공2",26230,개금동,31,31,23.11,23.36
26230-96,"백양뜨란채,주공아파트(1단지)",26230,당감동,39,40,36.41,37.64
26230-2559,"서면2차봄여름가을겨울",26230,당감동,66,66,77.52,77.51
26230-2866,"양정포레힐즈스위첸1단지",26230,양정동,50,50,31.23,30.77
26230-108,"벽산1",26230,가야동,34,34,10.37,10.27
26230-66,"현대2차",26230,양정동,40,40,36.61,36.37
26230-2464,"서면DS·협성엘리시안아파트",26230,범천동,37,37,21.25,21.57
26230-1857,"연지자이2차",26230,연지동,42,45,22.83,27.54
26230-95,"개금주공3단지",26230,당감동,46,47,40.09,42.19
26230-1790,"마제스타워서면",26230,부암동,47,48,45.01,45.43
26290-261,"동림리라",26290,우암동,49,49,69.78,69.78
26260-2109,"온천천경동리인타워",26260,낙민동,43,43,43.67,45.72
26470-1331,"해운파크빌",26470,연산동,60,60,55.47,56.26
26230-2437,"영림로즈빌",26230,가야동,57,57,66.61,67.00
26230-2854,"서면비스타동원",26230,당감동,49,50,42.28,44.48
26230-118,"이화",26230,가야동,32,32,36.52,36.38
26230-127,"개금우드빌",26230,개금동,21,21,18.14,18.03
26230-23,"화신거화2",26230,전포동,25,25,23.96,23.43
26230-34,"청구",26230,연지동,34,36,22.58,27.22
26230-2582,"가야동그린시티",26230,가야동,60,59,75.23,74.76
26230-2541,"더샵골드6",26230,전포동,51,51,41.26,42.86
26230-354,"두산위브센티움",26230,범천동,59,59,46.79,46.85
26230-1802,"서면세종그랑시아",26230,전포동,59,60,56.39,58.16
26230-131,"성도",26230,개금동,28,28,23.75,24.29
26230-2456,"서면TK골드뷰",26230,부전동,38,36,24.46,23.51
26230-355,"대동레미안",26230,범천동,55,56,62.61,62.80
26230-1727,"에스엔디파인빌",26230,부전동,52,50,48.45,48.05
26230-144,"한진",26230,개금동,33,32,27.35,27.41
26230-104,"가야삼정그린코아",26230,가야동,35,34,26.74,26.01
26230-1906,"삼정그린코아",26230,초읍동,54,,46.34,
26230-2048,"서면블리체",26230,부전동,49,47,29.40,26.43
26230-1452,"다산몽레브",26230,가야동,54,53,46.95,46.93
26230-2600,"연지보해이브더파크",26230,연지동,61,64,56.84,65.51
26230-1943,"더블루오피스텔",26230,전포동,57,,53.51,
26230-2472,"범내골역이즈팰리스",26230,범천동,66,66,74.26,74.45
26230-2386,"메리온시티",26230,전포동,66,,76.50,
26230-2444,"가야누리애",26230,범천동,57,57,47.37,47.81
26230-93,"삼익아파트",26230,당감동,52,52,50.00,52.18
26230-2063,"서면앙쥬빌주상복합",26230,전포동,58,59,61.28,64.17
26500-100,"복음",26500,망미동,42,42,40.17,40.17
26230-37,"연지2청구",26230,연지동,40,42,28.33,33.64
26230-1882,"부산서면동문굿모닝힐",26230,부암동,69,70,76.20,76.17
26230-2484,"서면동일파크스위트3차",26230,부암동,59,59,46.41,46.30
26230-84,"협성피닉스타운",26230,부암동,31,31,24.18,24.73
26230-146,"개금아이파크",26230,개금동,53,53,47.87,46.99
26230-2575,"범일역이즈",26230,범천동,56,56,75.00,75.18
26230-2646,"e편한세상서면더센트럴",26230,범천동,38,38,25.84,25.62
26230-1,"네오스포",26230,부전동,31,,25.14,
26230-54,"한신",26230,초읍동,43,42,49.81,48.80
26230-2120,"강진융프라우",26230,범천동,63,64,72.96,73.30
26350-35,"센텀삼익아파트",26350,재송동,63,63,67.60,67.65
26230-254,"한신센타뷰",26230,가야동,53,52,56.88,55.22
26230-357,"경동",26230,연지동,41,42,28.47,32.30
26230-2325,"수목하우스",26230,양정동,61,60,81.31,81.58
26230-2395,"동양팰리스",26230,전포동,54,54,44.02,45.64
26230-1703,"서면이-편한세상",26230,범천동,63,63,65.34,66.03
26230-2428,"개금역스마트더블유",26230,개금동,65,64,70.85,69.03
26230-2603,"협성휴포레시티즌파크",26230,부암동,54,55,36.98,37.87
26230-2523,"개금역금강펜테리움더스퀘어아파트",26230,개금동,77,76,80.18,79.73
26230-2641,"시민공원일동미라주시티",26230,부암동,60,61,61.71,62.41
26230-133,"시영(1~5동)",26230,개금동,46,46,52.32,51.74
26230-179,"경원프라우드-2",26230,전포동,55,57,68.56,72.20
26230-243,"서면베르빌2",26230,범천동,50,50,63.77,64.34
26230-2856,"롯데캐슬라센트",26230,부암동,41,41,25.13,25.45
26500-1368,"카라디움",26500,민락동,62,62,83.04,82.55
26230-36,"화인",26230,연지동,39,40,38.41,42.63
26230-85,"화승",26230,부암동,52,53,35.44,35.89
26230-1861,"더샵센트럴스타",26230,부전동,45,43,42.91,42.28
26230-2070,"백양산삼정그린코아",26230,부암동,27,28,18.62,18.79
26230-2599,"서면3차봄여름가을겨울",26230,범천동,51,51,50.64,50.79
26230-55,"한일맨션",26230,초읍동,53,52,48.84,48.20
26230-1706,"현호네오빌",26230,부전동,44,42,46.64,45.25
26230-212,"한웅인터빌",26230,전포동,51,52,43.43,45.79
26230-2645,"서면스위트엠골드에비뉴",26230,범천동,57,57,57.18,57.27
26230-1709,"일동미라주",26230,부암동,50,51,58.18,59.13
26230-87,"국제프라자",26230,당감동,42,42,43.11,44.17
26230-58,"백조",26230,양정동,51,51,70.47,71.23
26230-86,"국제백양",26230,당감동,42,42,34.36,35.17
26230-31,"세동한신",26230,연지동,44,46,30.81,35.00
26230-1636,"타워베르빌",26230,부암동,63,64,71.38,71.61
26230-145,"현대",26230,개금동,31,31,26.69,26.40
26230-128,"동원화인패밀리",26230,개금동,43,43,23.17,22.57
26230-89,"동원타워",26230,당감동,50,50,37.71,38.54
26230-2574,"개금동포르투나",26230,개금동,77,76,81.94,81.39
26230-106,"동원",26230,가야동,48,48,32.96,32.94
26230-124,"화신",26230,가야동,55,54,44.52,44.66
26230-11,"서면한신",26230,전포동,53,54,49.90,51.88
26230-2434,"양정클래스원",26230,양정동,55,54,67.79,68.57
26230-239,"쌍용스윗닷홈",26230,부암동,39,39,22.17,22.03
26230-363,"글로벌타워",26230,개금동,76,75,88.91,88.24
26230-2845,"서면롯데캐슬엘루체",26230,부전동,63,62,38.35,37.65
26500-1809,"성우센텀스카이뷰비",26500,광안동,40,41,33.36,33.96
26230-221,"블루스카이빌(159-3)",26230,초읍동,61,60,53.28,53.60
26230-2596,"연지에코팰리스",26230,연지동,53,53,76.21,78.05
26230-2291,"산들파르테",26230,양정동,50,51,44.85,45.76
26230-109,"벽산2",26230,가야동,45,45,25.55,25.37
26230-2459,"서면동일파크스위트2차",26230,부암동,51,52,31.43,32.47
26230-1673,"백양산월드메르디앙",26230,부암동,38,38,31.97,32.83
26230-2850,"e편한세상시민공원1단지",26230,전포동,48,49,36.24,37.57
26230-2555,"리츠캐슬",26230,범천동,64,64,53.94,54.31
26230-26,"로얄",26230,연지동,60,63,62.70,70.60
26230-352,"한솔폴라리스",26230,부전동,63,63,51.48,53.57
26230-99,"태화현대1",26230,당감동,48,49,68.00,69.17
26230-97,"백양푸른채",26230,당감동,32,33,36.31,37.19
26230-40,"초읍그린",26230,초읍동,54,53,53.09,53.30
26230-1733,"쌍용스윗닷홈스카이",26230,부암동,61,61,70.95,70.43
26230-2308,"KH마이우스",26230,전포동,65,,70.74,
26230-245,"서면노르웨이아침",26230,전포동,47,48,43.87,46.57
26230-2368,"홍림로얄뷰",26230,당감동,59,59,74.31,74.38
26230-230,"부암동리젠트힐",26230,부암동,64,64,77.83,76.09
26230-2305,"다온미즈",26230,개금동,53,53,54.09,54.43
26230-1751,"연지자이",26230,연지동,51,52,27.98,32.62
26350-2,"경동",26350,우동,50,,45.31,
26230-246,"대우디오빌1",26230,범천동,63,62,79.99,80.10
26230-33,"일동대영",26230,연지동,56,,66.09,
26230-14,"예일프라자",26230,전포동,57,,56.65,
26230-1995,"가야삼한사랑채",26230,가야동,47,46,61.58,60.62
26230-107,"마마",26230,가야동,45,,48.05,
26530-1012,"사상센텀아파트",26530,괘법동,54,54,47.20,47.08
26530-1021,"대상로웰아파트",26530,모라동,67,67,75.76,75.60
26230-2565,"에스제이파베르",26230,범천동,61,61,60.29,60.79
26230-1976,"범일역풍림아이원",26230,범천동,50,50,42.97,43.21
26230-42,"대진파레스필즈",26230,초읍동,31,30,48.26,47.30
26230-2378,"타워팰리스",26230,양정동,49,,58.91,
26230-75,"삼부본동",26230,부암동,48,49,66.50,66.65
26230-2461,"대동레미안더오션",26230,부전동,47,44,40.98,38.55
26230-1999,"동아블루시아",26230,초읍동,60,59,46.72,46.10
26230-91,"백산",26230,당감동,39,39,23.53,25.17
26230-1998,"서면센트리움",26230,부암동,56,56,72.25,72.08
26230-134,"신양맨션",26230,개금동,43,,54.25,
26230-1669,"롯데갤러리움",26230,양정동,55,56,48.39,49.54
26230-170,"동연아미가",26230,전포동,59,59,64.48,66.53
26230-1872,"다솜빌",26230,부전동,54,,50.99,
26230-81,"일성인포",26230,부암동,62,62,71.21,70.81
26230-67,"송백그린",26230,양정동,54,55,58.44,59.70
26230-1634,"신화골든뷰",26230,전포동,51,52,43.27,44.51
26230-178,"동조리젠시",26230,범천동,35,35,27.76,27.90
26230-2328,"한진스카이뷰",26230,양정동,49,49,49.07,50.88
26230-2316,"골든엠파이어",26230,당감동,62,62,83.07,83.40
26230-242,"대원플러스빌",26230,양정동,54,53,73.78,73.38
26230-2527,"세원秀아파트",26230,초읍동,57,56,50.00,50.00
26230-101,"금호그랜드타운",26230,당감동,48,,67.78,
26230-39,"덕인디오네빌",26230,연지동,55,56,69.57,71.91
26230-30,"삼익아파트",26230,연지동,43,45,42.22,46.60
26350-133,"해운대 센트럴파크",26350,좌동,46,46,52.07,52.60
26230-1641,"삼익(10,11동)",26230,당감동,48,49,50.99,52.80
26230-2560,"서면루미랑스",26230,부암동,67,67,75.15,75.46
26530-1046,"천아하늘정원",26530,괘법동,61,60,44.46,42.77
26230-2593,"가야누리애더센트리즈",26230,범천동,63,63,60.80,61.00
26230-2624,"서면지원더뷰파크",26230,부암동,56,56,67.11,66.13
26230-2387,"성원더프라임아파트",26230,부전동,57,55,54.49,53.08
26230-264,"삼성비치타운",26230,부전동,63,64,73.85,75.08
26230-217,"탑패밀리",26230,범천동,67,67,82.37,82.26
26230-2853,"서면동원시티비스타",26230,부전동,62,61,75.53,75.00
26230-2567,"전포유림노르웨이숲",26230,전포동,52,52,38.55,39.68
26230-63,"양정삼성타워",26230,양정동,45,,60.37,
26230-1592,"개금우드빌(1-9)",26230,개금동,35,35,27.71,28.12
26230-78,"성암",26230,부암동,50,50,64.35,63.29
26230-226,"화지빌라트",26230,초읍동,42,41,46.53,46.10
26230-92,"삼성",26230,당감동,50,51,43.11,43.94
26230-2583,"대능더에스티지",26230,양정동,51,51,43.02,43.89
26230-2447,"목연정M팰리스",26230,전포동,71,,72.96,
26230-1672,"유림노르웨이숲",26230,연지동,37,39,24.55,29.76
26230-1974,"서면엘리시움",26230,전포동,60,61,52.34,54.60
26230-2171,"폴더윈하이츠",26230,범천동,32,,24.36,
26230-122,"한일하나로",26230,가야동,55,55,37.22,37.77
26230-70,"럭키무지개타운",26230,부암동,51,,58.05,
26230-1610,"그린파크",26230,초읍동,38,,45.18,
26230-2430,"토운모닝톤",26230,범천동,63,,68.88,
26230-2269,"지오베스트빌",26230,양정동,53,,71.76,
26230-2011,"세영",26230,부전동,63,,55.22,
26230-9,"대산",26230,전포동,25,,22.54,
26230-2204,"파인트리",26230,당감동,59,,35.57,
26230-379,"삼경",26230,개금동,64,,71.09,
26350-2216,"센텀협성르네상스타운",26350,재송동,62,61,68.50,68.68
26230-1690,"한일유앤아이(890-1)",26230,전포동,54,55,56.51,58.96
26230-207,"서면베스트빌",26230,전포동,52,53,51.37,53.72
26230-22,"화신거화",26230,전포동,32,32,29.62,29.68
26230-2250,"수정캐슬",26230,양정동,54,54,50.80,50.47
26200-20,"샛별나동",26200,신선동2가,36,,48.91,
26230-167,"새롬하이빌2차",26230,범천동,34,34,30.95,30.80
26230-2385,"서면팰리스",26230,전포동,50,51,43.57,46.02
26230-2270,"유성해네스타워",26230,전포동,61,62,61.39,63.09
26230-2549,"개금동아이리스5차애비뉴",26230,개금동,65,64,69.42,67.50
26230-389,"대훈아트빌",26230,개금동,46,47,47.99,48.70
26230-2440,"더샵골드5",26230,양정동,55,55,46.76,47.28
26230-1591,"시영(12~17동)",26230,개금동,51,51,53.21,53.47
26230-2546,"우일아내트",26230,범천동,53,53,48.86,49.34
26230-154,"세인한아름",26230,범천동,24,24,14.82,14.85
26230-28,"봉황",26230,연지동,46,48,33.87,38.97
26230-205,"동광하이빌(106)",26230,전포동,36,36,42.45,43.91
26230-375,"골든",26230,범천동,54,54,54.35,54.75
26230-2343,"평광우리가",26230,범천동,44,44,46.55,46.52
26230-126,"대동",26230,개금동,35,35,9.43,10.07
26230-2111,"양정이즈팰리스",26230,양정동,63,63,64.44,65.94
26230-3,"전자종합상가",26230,부전동,44,,71.60,
26230-15,"우영",26230,전포동,47,47,68.53,67.14
26230-213,"청아",26230,전포동,60,61,78.60,79.85
26230-208,"아세만화니트",26230,양정동,43,43,41.47,41.46
26230-152,"서면항도타워맨션",26230,범천동,39,39,33.34,33.01
26230-56,"한일하나로",26230,초읍동,54,,57.04,
26230-369,"금오아트빌",26230,전포동,52,,58.75,
26230-353,"유원타워",26230,부전동,50,,55.43,
26230-2436,"범천동이즈팰리스",26230,범천동,59,60,70.80,71.15
26230-88,"동원",26230,당감동,42,43,23.53,25.17
26230-2532,"허브팰리스",26230,범천동,56,56,44.91,45.22
26230-25,"한성시티빌",26230,전포동,52,52,58.13,60.34
26230-247,"해오름2차",26230,부전동,43,42,52.14,52.02
26230-189,"태석해오름A",26230,부전동,41,39,51.76,52.37
26230-2485,"수목하우스",26230,양정동,57,54,50.31,50.05
26230-82,"한림",26230,부암동,32,32,20.32,20.41
26230-2393,"연지동삼정그린코아",26230,연지동,61,,56.48,
26230-125,"고원",26230,개금동,28,,17.91,
26230-2544,"더블루",26230,개금동,58,58,58.64,59.15
26230-192,"보영미네르빌",26230,부전동,56,55,56.13,56.23
26230-120,"진성",26230,가야동,44,44,35.86,35.55
26230-182,"동아",26230,가야동,54,54,65.13,64.58
26230-225,"블루스카이빌(3차)",26230,초읍동,53,,51.74,
26230-233,"솔내음파미유",26230,부암동,26,,20.01,
26230-2398,"린다비스타",26230,범천동,44,45,45.69,45.80
26230-2469,"스타파크",26230,범천동,54,54,56.67,57.29
26230-2370,"전포센티움",26230,전포동,64,65,69.16,71.40
26230-2519,"가야센트리움",26230,가야동,67,,61.35,
26230-1980,"대성문퀸즈더블유",26230,양정동,46,46,43.49,43.91
26230-168,"동양크리스탈",26230,범천동,47,47,62.05,62.25
26230-105,"국민",26230,가야동,63,63,69.66,68.77
26230-143,"태림",26230,개금동,32,,29.09,
26230-123,"해운",26230,가야동,30,,33.79,
26230-2355,"리첸타워",26230,초읍동,45,44,52.31,50.90
26230-60,"산호맨션",26230,양정동,50,50,43.49,43.92
26230-201,"전원타워빌",26230,양정동,53,53,48.29,48.05
26230-2822,"래미안어반파크아파트",26230,연지동,55,50,28.33,33.64
26350-123,"롯데3차",26350,좌동,59,59,54.98,55.57
26230-238,"성원쌍떼뷰",26230,개금동,62,,68.17,
26230-1643,"범전시영2동",26230,범전동,55,,72.50,
26230-1796,"대원빌라2차",26230,부전동,55,53,54.75,53.81
26230-129,"반도보라맨션",26230,개금동,41,41,28.20,27.41
26230-2611,"(292-28)",26230,초읍동,48,48,60.51,61.40
26230-2233,"몽뜨레",26230,전포동,59,59,65.52,66.23
26230-260,"건오힐타워",26230,당감동,66,66,93.11,92.78
26230-2517,"연지센트럴파크",26230,연지동,49,50,65.77,71.04
26230-64,"초원",26230,양정동,38,,46.57,
26230-386,"남경(177-210)",26230,개금동,66,68,70.91,69.48
26230-2621,"그린센트",26230,부암동,56,57,65.48,65.48
26230-235,"동남주상복합",26230,당감동,50,52,31.56,33.82
26230-190,"서면그린빌",26230,범천동,57,57,81.87,82.16
26230-2450,"태영아너스",26230,개금동,62,62,66.56,65.72
26230-209,"덕포그랜드힐",26230,양정동,54,54,54.86,55.24
26230-2067,"시티파크",26230,개금동,63,62,68.97,67.66
26230-1890,"홍림로즈빌",26230,당감동,52,53,61.17,63.88
26230-259,"청보",26230,양정동,48,48,60.20,61.54
26230-227,"협성베스트하우스",26230,초읍동,43,,49.13,
26230-2138,"홍림세르빌",26230,당감동,57,,63.27,
26230-153,"성림타워",26230,범천동,34,34,31.19,31.10
26230-44,"선경",26230,초읍동,53,53,44.21,44.60
26230-2,"부영",26230,부전동,34,,34.97,
26230-2529,"스윗팰리스",26230,전포동,64,,70.38,
26230-214,"코이노빌",26230,부전동,45,,63.56,
26230-262,"새한아트빌",26230,전포동,53,54,69.29,72.09
26230-2849,"시청역중앙하이츠",26230,양정동,60,,46.64,
26230-186,"골드스카이80",26230,당감동,57,,72.73,
26350-129,"상록",26350,좌동,58,58,65.11,66.08
26230-16,"일산(317-40)",26230,전포동,28,28,29.60,29.13
26230-183,"금오파크뷰",26230,연지동,49,,74.21,
26230-2647,"노블파크",26230,양정동,53,,53.70,
26230-48,"아남하이츠",26230,초읍동,53,,52.51,
26230-2859,"허브팰리스더파크",26230,부암동,69,,67.85,
26230-268,"모닝빌라트",26230,개금동,54,54,58.84,59.72
26350-110,"대동타운",26350,좌동,45,,44.52,
26230-2487,"연지동백리명가에덴",26230,연지동,52,,77.11,
26260-23,"조성하이츠",26260,수안동,40,39,22.62,21.74
26350-2580,"센텀KCC스위첸",26350,반여동,65,63,76.68,75.00
26350-2347,"동화마을5",26350,반송동,70,69,78.13,79.56
26350-48,"장산동국",26350,재송동,25,,18.02,
26350-172,"현대일성2",26350,반여동,35,30,26.86,24.19
26350-126,"벽산2",26350,좌동,50,51,43.46,44.61
26350-127,"삼성",26350,좌동,41,42,49.74,51.98
26350-136,"한라",26350,좌동,60,60,55.01,56.94
26350-2398,"해운대경동리인뷰1차",26350,중동,62,60,52.34,49.19
26350-301,"센텀롯데캐슬2차",26350,반여동,56,54,35.96,33.91
26350-2328,"달맞이유림노르웨이숲",26350,중동,53,50,47.56,42.35
26350-210,"일동미라주",26350,반여동,46,44,46.07,45.36
26350-2271,"센텀두산위브",26350,우동,46,44,42.04,37.15
26350-184,"삼한그린타운1",26350,반송동,53,51,45.36,44.13
26350-2107,"센텀동부센트레빌",26350,재송동,61,61,64.41,64.71
26350-171,"현대그린맨션",26350,반여동,56,52,60.31,56.46
26350-104,"달맞이경동메르빌",26350,중동,50,46,42.97,36.59
26350-121,"두산1차아파트",26350,좌동,24,25,26.39,27.03
26350-114,"대우",26350,좌동,42,43,34.55,35.13
26350-166,"우방신세계타운",26350,반여동,56,53,38.20,36.82
26230-137,"영화",26230,개금동,39,,48.79,
26350-122,"롯데2",26350,좌동,44,45,21.39,22.28
26350-2166,"해운대두산위브더제니스",26350,우동,55,55,21.37,17.83
26230-2483,"초읍포레스타아파트",26230,초읍동,46,,40.45,
26230-223,"일신파크빌",26230,초읍동,53,,42.29,
26230-1933,"양정해광빌리지",26230,양정동,48,,32.36,
26230-258,"양지코쿤",26230,부전동,37,,35.75,
26350-2162,"해운대 I PARK",26350,우동,55,56,26.52,26.85
26260-190,"삼정그린코아",26260,온천동,28,28,9.33,9.60
26350-53,"한영비치",26350,재송동,44,43,32.97,31.82
26350-2119,"해운대중동금호어울림",26350,중동,64,62,75.40,74.29
26350-29,"금호",26350,재송동,51,50,37.81,37.37
26350-112,"대림2",26350,좌동,50,51,38.72,39.81
26350-155,"벽산한솔타운",26350,반여동,56,,49.85,
26350-190,"삼정코아",26350,좌동,75,,86.03,
26350-2091,"센텀롯데캐슬3차아파트",26350,반여동,63,61,58.15,56.57
26350-115,"대우2",26350,좌동,63,63,53.05,54.39
26350-2148,"해운대케이씨씨스위첸",26350,좌동,66,66,68.48,69.95
26350-182,"삼한2",26350,반송동,51,51,56.48,55.77
26350-180,"벽산삼협",26350,반송동,55,53,36.50,35.50
26350-99,"해운대동일",26350,중동,65,64,83.28,81.60
26350-2117,"현대하이페리온",26350,우동,53,51,31.91,25.57
26350-160,"보람",26350,반여동,33,28,35.03,32.61
26350-40,"신동아",26350,재송동,44,43,42.68,42.53
26350-12,"센텀마리나",26350,우동,38,,30.67,
